news_title,news_text
Passenger train services to restart from May 12 with 15 pairs of trains: Govt,"
The Indian Railways will gradually restart passenger train operations from May 12, initially with 15 pairs of trains (30 return journeys), it announced. These trains will be run as special trains from New Delhi connecting 15 important cities including Bengaluru, Chennai, Mumbai and Ahmedabad, Railways tweeted. Booking for reservation in these trains will start at 4 pm on May 11.

short by Anmol Sharma / 
      09:00 pm on 10 May

"
Former PM Manmohan Singh admitted to AIIMS after complaining about chest pain,"
Former Prime Minister Manmohan Singh has been admitted to AIIMS in Delhi after complaining about chest pain. He is under observation in the cardio-thoracic ward, as per PTI. The 87-year-old former PM had undergone a redo cardiac surgery, which included five bypasses, in 2009. Further, he had undergone a bypass surgery in 1990 and a stenting procedure in 2004.

short by Anmol Sharma / 
      10:39 pm on 10 May

"
"Coronavirus cases rise to 3,814 in Rajasthan, over 2,000 recovered","
Rajasthan on Sunday reported 106 new coronavirus cases, taking the total number of cases in the state to 3,814 which includes 108 deaths. A total of 2,241 patients have recovered and 1,993 were discharged from hospitals bringing the total number of active cases in the state to 1,465. Jaipur is the worst-hit district with 1,219 cases and 57 deaths.

short by Apaar Sharma / 
      10:37 pm on 10 May

"
India develops its 1st indigenous antibody detection kit for coronavirus,"
The National Institute of Virology in Pune has successfully developed India's first indigenous antibody detection kit for coronavirus. ""This kit was validated at two sites in Mumbai and has high sensitivity & accuracy. Besides, it has the advantage of testing 90 samples together in a single run of 2.5 hours,"" Health Minister Harsh Vardhan said.

short by Anmol Sharma / 
      09:48 pm on 10 May

"
What are the guidelines for passengers ahead of resumption of select passenger trains?,"
Booking for the special passenger trains that will resume operations from May 12 will be available only on IRCTC website. Only passengers with valid confirmed tickets will be allowed to enter the railway stations. It'll be mandatory for the passengers to wear face cover and undergo screening at departure and only asymptomatic passengers will be allowed to board the train. 

short by Anmol Sharma / 
      09:50 pm on 10 May

"
"Coronavirus cases in Gujarat cross 8,000-mark, death toll rises to 493","
Gujarat recorded 398 new coronavirus cases in the last 24 hours, taking the total coronavirus cases there to above 8,000, said the state's health department on Sunday. Twenty-one more people died of the virus in the state in last 24 hours, taking Gujarat's coronavirus death toll to 493. Of the new cases, 278 were reported in Ahmedabad alone.

short by Sakshita Khosla / 
      10:17 pm on 10 May

"
"Coronavirus death toll in WB crosses 100-mark, total cases rise to 1,939","
West Bengal has recorded 153 new coronavirus cases in the last 24 hours, taking the total coronavirus cases there to 1,939, said the state's Department of Health and Family Welfare. West Bengal's coronavirus death toll reached 113, after 14 coronavirus deaths were recorded in the state in the last 24 hours, said the department.

short by Sakshita Khosla / 
      10:24 pm on 10 May

"
"She’s my fiercest supporter, my friend: Jeff Bezos wishes mom on Mother's Day","
Jeff Bezos took to Instagram and shared a picture with his mother, Jacklyn Bezos, to wish her on Mother's Day. ""Thank you to my amazing mom. She's my fiercest supporter, my friend, and one kind lady! I love you, mom. Happy Mother's Day!,"" he said. Jacklyn was a 17-year-old high school student when she gave birth to the Amazon Founder.

short by Anushka Dixit / 
      09:44 pm on 10 May

"
"7 new coronavirus cases in Kerala, total active cases in state now 20","
Seven new coronavirus cases were confirmed in Kerala on Sunday, taking the total number of cases in the state to 512. Three of the new cases were recorded in Wayanad district, two in Thrissur and one each in Ernakulam and Malappuram. There are 20 active coronavirus cases in Kerala now and four more patients were confirmed recovered on Sunday.

short by Sakshita Khosla / 
      11:03 pm on 10 May

"
"UK reports lowest daily coronavirus deaths since March 29 as 269 die, total now 31,855","
As many as 269 people died of coronavirus in UK in last 24 hours, which is the lowest daily increase of coronavirus deaths since March 29 when there were 214 fatalities in a 24-hour period. The total number of coronavirus deaths in UK has risen to 31,855, while the total number of cases has surged to 219,183.

short by Anmol Sharma / 
      09:28 pm on 10 May

"
Maharashtra CM to become MLC unopposed as Cong withdraws 1 nominee,"
Maharashtra CM Uddhav Thackeray is set to enter the Legislative Council unopposed after Congress on Sunday said it will withdraw one of its two candidates for elections to nine seats on May 21. This came after Shiv Sena leader Sanjay Raut said earlier on Sunday that CM Thackeray was not willing to contest the polls unless elected unopposed.

short by Sakshita Khosla / 
      09:47 pm on 10 May

"
Deer crashes through roof of Mumbai house after midnight; rescued,"
A spotted deer crashed through the roof of a house in Powai shortly after midnight and was rescued by animal welfare groups and forest officials on Sunday. The incident happened in Mahatma Phule Chawl close to the Sanjay Gandhi National Park (SGNP). The deer was in shock for a while, and couldn't move inside the home for some time.

short by Pragya Swastik / 
      10:08 pm on 10 May

"
China refutes 24 'lies' by US politicians over COVID-19 in 30-page article,"
China's Foreign Ministry posted a 30-page, 11,000-word article on its website in rebuttal of what it said were 24 allegations by some US politicians over its handling of coronavirus outbreak. US Secretary of State Mike Pompeo has alleged that coronavirus originated in a laboratory in China's Wuhan city. China claims that it provided information about coronavirus in a timely manner.

short by Shailesh / 
      10:07 pm on 10 May

"
Chinese city imposes martial law after increase in COVID-19 cases,"
Shulan city in Northeast China has imposed martial law in its fight against COVID-19 after an infected laundrywoman spread the virus to 11 others, state-run Global Times reported. Shulan raised its epidemic-response to the highest level, making it the only city in China to do so currently, it added. Shulan imposed a lockdown in local communities and villages from Saturday.

short by Shailesh / 
      11:00 pm on 10 May

"
"COVID-19 spread not associated with temperature, latitude: Study","
A study in the Canadian Medical Association Journal found that coronavirus spread wasn't associated with temperature or latitude. However, it said restrictions on mass gatherings, school closures and similar measures had helped in reducing the spread. The study looked at 144 geopolitical areas and over 3,75,600 confirmed COVID-19 cases across the world.

short by Aishwarya / 
      10:40 pm on 10 May

"
